Indicator,S.No.,Parameters,Type,SubDistrict - _Anugul - Total [(A+B) or (C+D)],SubDistrict - _Anugul - Public [A],SubDistrict - _Anugul - Private [B],SubDistrict - _Anugul - Urban [C],SubDistrict - _Anugul - Rural [D],SubDistrict - Angul - Total [(A+B) or (C+D)],SubDistrict - Angul - Public [A],SubDistrict - Angul - Private [B],SubDistrict - Angul - Urban [C],SubDistrict - Angul - Rural [D],SubDistrict - Athamallik - Total [(A+B) or (C+D)],SubDistrict - Athamallik - Public [A],SubDistrict - Athamallik - Private [B],SubDistrict - Athamallik - Urban [C],SubDistrict - Athamallik - Rural [D],SubDistrict - Banarapal - Total [(A+B) or (C+D)],SubDistrict - Banarapal - Public [A],SubDistrict - Banarapal - Private [B],SubDistrict - Banarapal - Urban [C],SubDistrict - Banarapal - Rural [D],SubDistrict - Chhendipada - Total [(A+B) or (C+D)],SubDistrict - Chhendipada - Public [A],SubDistrict - Chhendipada - Private [B],SubDistrict - Chhendipada - Urban [C],SubDistrict - Chhendipada - Rural [D],SubDistrict - Dist Level Facility - Total [(A+B) or (C+D)],SubDistrict - Dist Level Facility - Public [A],SubDistrict - Dist Level Facility - Private [B],SubDistrict - Dist Level Facility - Urban [C],SubDistrict - Dist Level Facility - Rural [D],SubDistrict - Kaniha - Total [(A+B) or (C+D)],SubDistrict - Kaniha - Public [A],SubDistrict - Kaniha - Private [B],SubDistrict - Kaniha - Urban [C],SubDistrict - Kaniha - Rural [D],SubDistrict - Pallahara - Total [(A+B) or (C+D)],SubDistrict - Pallahara - Public [A],SubDistrict - Pallahara - Private [B],SubDistrict - Pallahara - Urban [C],SubDistrict - Pallahara - Rural [D],SubDistrict - Rajkishore Nagar - Total [(A+B) or (C+D)],SubDistrict - Rajkishore Nagar - Public [A],SubDistrict - Rajkishore Nagar - Private [B],SubDistrict - Rajkishore Nagar - Urban [C],SubDistrict - Rajkishore Nagar - Rural [D],SubDistrict - Talcher - Total [(A+B) or (C+D)],SubDistrict - Talcher - Public [A],SubDistrict - Talcher - Private [B],SubDistrict - Talcher - Urban [C],SubDistrict - Talcher - Rural [D]
M16 [Details of deaths reported with probable causes:],16.5.1,Number of Maternal Deaths due to Bleeding,TOTAL,3,3,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.2,Number of Maternal Deaths due to High fever,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.3,Number of Maternal Deaths due to Abortion,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.4,Number of Maternal Deaths due to Obstructed/prolonged labour,TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.5,Number of Maternal Deaths due to Severe hypertesnion/fits,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.6,Number of Maternal Deaths due to Other Causes (including causes not known),TOTAL,10,10,NA,NA,10,3,3,NA,NA,3,3,3,NA,NA,3,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.6,Total Facility Based Maternal Death Reviews (FBMDR) done,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.7.1,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,2,2,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.7.2,Number of Adolscent / Adult deaths due to Tuberculosis,TOTAL,35,35,NA,NA,35,2,2,NA,NA,2,1,1,NA,NA,1,3,3,NA,NA,3,1,1,NA,NA,1,20,20,NA,NA,20,0,0,NA,NA,0,6,6,NA,NA,6,1,1,NA,NA,1,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.7.3,Number of Adolscent / Adult deaths due to Respiratory diseases including infections (other than TB),TOTAL,36,36,NA,NA,36,10,10,NA,NA,10,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,17,17,NA,NA,17,0,0,NA,NA,0,4,4,NA,NA,4,NA,NA,NA,NA,NA,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.7.4,Number of Adolscent / Adult deaths due to Other Fever Related,TOTAL,19,19,NA,NA,19,0,0,NA,NA,0,3,3,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,12,12,NA,NA,12,0,0,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.7.5,Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,6,6,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,0,0,NA,NA,0,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.7.6,Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,203,203,NA,NA,203,20,20,NA,NA,20,20,20,NA,NA,20,23,23,NA,NA,23,18,18,NA,NA,18,54,54,NA,NA,54,13,13,NA,NA,13,27,27,NA,NA,27,20,20,NA,NA,20,8,8,NA,NA,8
M16 [Details of deaths reported with probable causes:],16.7.7,Number of Adolscent / Adult deaths due to Cancer,TOTAL,63,63,NA,NA,63,8,8,NA,NA,8,3,3,NA,NA,3,11,11,NA,NA,11,11,11,NA,NA,11,4,4,NA,NA,4,5,5,NA,NA,5,3,3,NA,NA,3,10,10,NA,NA,10,8,8,NA,NA,8
M16 [Details of deaths reported with probable causes:],16.7.8,Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,60,60,NA,NA,60,5,5,NA,NA,5,27,27,NA,NA,27,7,7,NA,NA,7,3,3,NA,NA,3,1,1,NA,NA,1,6,6,NA,NA,6,5,5,NA,NA,5,1,1,NA,NA,1,5,5,NA,NA,5
M16 [Details of deaths reported with probable causes:],16.7.9,Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,81,81,NA,NA,81,4,4,NA,NA,4,8,8,NA,NA,8,8,8,NA,NA,8,10,10,NA,NA,10,13,13,NA,NA,13,12,12,NA,NA,12,12,12,NA,NA,12,7,7,NA,NA,7,7,7,NA,NA,7
M16 [Details of deaths reported with probable causes:],16.7.10,Number of Adolscent / Adult deaths due to Suicide,TOTAL,20,20,NA,NA,20,3,3,NA,NA,3,3,3,NA,NA,3,0,0,NA,NA,0,2,2,NA,NA,2,4,4,NA,NA,4,2,2,NA,NA,2,2,2,NA,NA,2,3,3,NA,NA,3,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.7.11,Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,23,23,NA,NA,23,1,1,NA,NA,1,2,2,NA,NA,2,3,3,NA,NA,3,2,2,NA,NA,2,3,3,NA,NA,3,6,6,NA,NA,6,2,2,NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.7.12,Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,112,112,NA,NA,112,38,38,NA,NA,38,4,4,NA,NA,4,10,10,NA,NA,10,27,27,NA,NA,27,7,7,NA,NA,7,8,8,NA,NA,8,9,9,NA,NA,9,6,6,NA,NA,6,3,3,NA,NA,3
M16 [Details of deaths reported with probable causes:],16.7.13,Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,395,395,NA,NA,395,36,36,NA,NA,36,39,39,NA,NA,39,79,79,NA,NA,79,42,42,NA,NA,42,10,10,NA,NA,10,44,44,NA,NA,44,27,27,NA,NA,27,110,110,NA,NA,110,8,8,NA,NA,8
M16 [Details of deaths reported with probable causes:],16.7.14,Number of Adolscent / Adult deaths due to Causes not known,TOTAL,1769,1769,NA,NA,1769,274,274,NA,NA,274,140,140,NA,NA,140,246,246,NA,NA,246,342,342,NA,NA,342,16,16,NA,NA,16,217,217,NA,NA,217,241,241,NA,NA,241,122,122,NA,NA,122,171,171,NA,NA,171
M16 [Details of deaths reported with probable causes:],16.8.1,Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.2,Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.3,Number of Deaths due to Kala Azar,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.4,Number of Deaths due to Dengue,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.5,Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.6,Number of Deaths due to Japanese Encephalitis (JE),TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
